"Iteration: Iteration","Drag Monitor: Force (N)"
153,54003.169854716463
154,53727.627813587686
155,53599.771855405816
156,53578.089580540247
157,53674.648102125328
158,53883.034493695915
159,54182.894944405634
160,54556.583016767763
161,54954.183888119107
162,55378.796539416653
163,55935.44485190649
164,56315.777051392455
165,56449.369824345646
166,56536.988913911286
167,56580.129694160125
168,56568.782346793647
169,56476.104020721534
170,56276.808760798616
171,55972.449129650056
172,55575.792318306623
173,54898.8465412277
174,54304.792118772217
175,53792.716925946937
176,53363.339331778843
177,53033.499095817104
178,52822.326046104972
179,52763.863804522785
180,52805.914149756092
181,52979.837699659933
182,53384.193882846237
183,53776.795248478295
184,54491.787011045366
185,55151.737825980854
186,55742.936024106966
187,56277.736642208918
188,56709.577971169187
189,57041.053625041161
190,57234.669641917637
191,57266.041652196443
192,57209.91290578973
193,57039.292469586821
194,56736.889551868881
195,56304.10025278425
196,55756.611477748265
197,54804.034791443097
198,54009.05621844624
199,53405.440296447123
200,52936.291481196698
201,52601.507665430152
202,52486.595380633174
203,52565.190015269269
204,52890.565882837174
205,53248.657528056276
206,54041.765815440915
207,54851.674859850813
208,55702.197906883528
209,56449.392412418267
210,57187.034748409205
211,57804.033974666272
212,58268.066320227612
213,58538.870327027682
214,58654.877274829014
215,58604.371917825643
216,58385.703318311345
217,57841.588994638179
218,57152.678916122641
219,56403.836714506833
220,55578.613917512048
221,54787.041151068457
222,54074.635958075814
223,53460.465614530396
224,53125.768979355023
225,53014.995563565913
226,53127.282455779758
227,53541.713843443489
228,53978.230534144772
229,54883.10284514197
230,55730.060883220824
231,56543.643247071712
232,57277.630790959527
233,57894.675199743011
234,58356.819441844564
235,58653.481235927968
236,58762.375404703387
237,58691.048460317921
238,58375.921997620178
239,58053.911080902333
240,57533.997640744412
241,56926.326418326062
242,55946.284762521187
243,55245.682973632393
244,54715.697071216382
245,54313.913757720795
246,54046.852157463181
247,54003.746446223769
248,54072.620043719413
249,54249.402629550423
250,54537.614182784237
251,54932.848335689829
252,55442.743972786979
253,56017.085051457711
254,56759.120357195512
255,57290.618964244619
256,57583.376780420651
257,57666.174613738753
258,57661.419337410676
259,57569.437604301631
260,57351.912195989025
261,57029.117836405014
262,56626.965656855624
263,56156.636902313126
264,55643.99928070209
265,55159.783691733406
266,54706.84315440691
267,54177.205228864252
268,54007.204567250563
269,53874.594303281112
270,53915.668556046476
271,54063.722051826393
272,54328.310151604652
273,54683.725456480075
274,55077.567659532535
275,55519.395384651318
276,56199.664702437971
277,56675.821818441356
278,56978.82079406915
279,57115.357388844081
280,57259.075708103876
281,57265.609989367316
282,57173.636819769425
283,56959.851997661826
284,56631.096084209603
285,56204.613531713687
286,55692.149303691389
287,54928.229055476426
288,54355.766621946808
289,53932.455801234602
290,53634.531516530704
291,53535.864543879019
292,53486.008496737355
293,53542.135117267826
294,53743.64008946855
295,54057.439080560842
296,54471.014697721213
297,54992.270084209849
298,55758.96087691206
299,56361.227423595607
300,56794.255593866874
301,57104.641095808023
302,57325.458043019018
303,57397.149042149271
304,57434.073722747395
305,57366.651209564188
306,57129.180771378749
307,56758.866284123003
308,56286.774333117777
309,55731.109797467012
310,54901.446906999838
311,54297.050288596802
312,53856.840582898578
313,53613.561273765634
314,53521.002998638432
315,53504.64840513646
316,53587.928477586822
317,53791.70247065572
318,54139.983743108911
319,54740.799056965101
320,55323.799749127844
321,55895.596571992566
322,56393.712025920817
323,56813.020941380004
324,57169.452432503851
325,57371.859905199359
326,57420.993358957283
327,57372.712631677241
328,57232.700443130452
329,56945.545646017978
330,56505.56773725072
331,55955.507563515268
332,55181.792357777791
333,54590.094582530044
334,54125.49254126101
335,53803.504472246146
336,53602.659794354957
337,53536.200882386489
338,53577.281422583459
339,53714.088423873887
340,54051.297799366468
341,54360.899183851761
342,55012.624314664354
343,55634.30860099179
344,56190.581492947684
345,56717.506781568482
346,57124.785483080777
347,57414.30595596473
348,57595.030230844866
349,57606.233745110825
350,57488.322286716335
351,57303.901619934128
352,56816.864943257708
353,56406.13901850611
354,55688.033800429534
355,55045.28780010785
356,54518.342711673744
357,54106.81284034087
358,53786.583659604476
359,53631.660501402752
360,53621.963469031223
361,53723.991277092879
362,53947.894885429792
363,54414.068270930962
364,54796.97238481453
365,55476.226813710018
366,56048.279934361839
367,56550.364411663955
368,57003.161394005736
369,57302.668841741288
370,57485.708881328865
371,57524.400743847655
372,57453.666034947943
373,57289.60973693947
374,56985.468066604248
375,56541.796728246329
376,56026.442491215443
377,55263.93151872317
378,54678.70887375337
379,54287.816182915703
380,54019.700035150978
381,53931.649681251474
382,53881.334265701335
383,53920.568006459798
384,54061.965441654938
385,54404.00018341752
386,54702.654450693764
387,55257.942754345757
388,55812.087636641008
389,56275.065469145178
390,56657.404095950136
391,56966.269123496153
392,57182.940105238464
393,57238.513864819237
394,57186.410053867636
395,57060.68973719042
396,56772.332329667086
397,56374.192325991782
398,55893.035042714386
399,55158.116658782041
400,54606.833546594738
401,54197.223078930881
402,53913.107461153821
403,53787.243598766327
404,53659.246038632642
405,53678.475542319822
406,53798.876959804395
407,54040.75244421939
408,54499.51673211623
409,54851.887822902652
410,55469.827026005783
411,56002.042466142288
412,56444.903518914769
413,56815.673492458976
414,57039.013364222206
415,57129.015009833325
416,57152.515203882605
417,57077.254689479458
418,56786.621935638002
419,56494.57567677628
420,56072.884741982925
421,55541.583000828119
422,54770.645163418238
423,54233.221009111963
424,53881.275164484265
425,53614.236951228537
426,53525.037657067041
427,53496.054084264535
428,53577.178398683696
429,53778.020129891833
430,54196.731653443516
431,54532.894996731571
432,55160.684426745487
433,55728.218780145122
434,56244.061979303755
435,56663.74889553785
436,56977.871348418776
437,57197.490667591352
438,57252.78423266537
439,57228.538297409097
440,57101.998417510149
441,56718.816445525204
442,56372.520635184475
443,55728.957566624747
444,55124.925828945059
445,54612.060097775618
446,54159.227383992751
447,53840.233129969994
448,53633.357757001693
449,53580.772188521638
450,53615.944902482181
451,53739.577989642567
452,53999.782326300621
453,54483.191184152434
454,54999.835553510427
455,55525.260717725439
456,56062.900750787034
457,56526.550854441186
458,56925.195122727397
459,57212.582837453891
460,57313.736708412755
461,57345.224800192111
462,57256.920937120973
463,56936.591063013097
464,56626.135544220255
465,56156.057039298816
466,55426.877074014861
467,54815.475762606053
468,54331.416004267288
469,53970.372036061344
470,53733.618481221849
471,53649.979245079863
472,53622.615052972462
473,53718.114611473029
474,53925.298821635406
475,54386.820478620139
476,54720.570675920433
477,55362.875254434985
478,55938.646914762998
479,56420.912447950155
480,56830.645100950489
481,57116.04196436143
482,57285.758554084408
483,57308.715017419803
484,57240.355571451015
485,57044.052462492873
486,56613.67436384302
487,56263.331921782337
488,55787.746538555744
489,55033.796614856656
490,54449.559007943724
491,54030.312764900962
492,53768.189351960405
493,53627.829321981648
494,53607.920333997128
495,53693.720718814482
496,53846.936548332189
497,54215.986326680904
498,54542.59355243521
499,55118.589478081034
500,55730.265639439996
501,56223.347057659375
502,56618.698917457201
503,56935.376002748628
504,57142.107529674264
505,57205.613572850401
506,57189.154058417538
507,57044.313170145848
508,56784.217896906201
509,56383.855083296963
510,55919.168692763677
511,55165.51378745056
512,54591.133221658987
513,54149.46611780049
514,53832.701132276168
515,53637.369721158597
516,53593.391455519151
517,53629.515934847404
518,53747.422497530388
519,53982.30877781348
520,54459.121043148654
521,54832.958411254396
522,55477.746052268645
523,56029.807152951456
524,56499.453195898335
525,56843.215382996954
526,57116.324641650841
527,57226.629491656262
528,57265.418073963519
529,57191.394854888567
530,56981.958052426126
531,56639.111014441987
532,56175.793073783956
533,55613.131021827692
534,54844.148587909483
535,54276.026738705419
536,53888.14686666878
537,53653.807646869929
538,53591.088596961781
539,53575.752551982419
540,53640.472767698753
541,53828.11218549178
542,54263.413759302493
543,54605.650797464456
544,55242.874256381343
545,55812.651291262817
546,56347.964060875296
547,56770.871421918877
548,57088.959240157303
549,57293.149052118119
550,57341.640328573303
551,57289.033063839612
552,57138.496270580756
553,56856.515098581076
554,56430.442136917831
555,55897.33719055976
556,55117.048912714621
557,54539.385728166235
558,54037.978080344699
559,53737.184050356176
560,53625.526072702742
561,53551.463762299754
562,53592.55816699061
563,53745.414564314116
564,54131.114449518202
565,54450.484990887118
566,55068.122405183654
567,55654.785739413273
568,56173.021996275245
569,56629.840993408317
570,56978.481601545238
571,57231.86447812328
572,57366.714546720563
573,57358.967287731037
574,57239.976103135617
575,56982.84780700961
576,56604.814692057385
577,56130.916622237877
578,55605.400420888436
579,54810.249444972003
580,54268.004245885793
581,53891.888498452463
582,53658.598335207062
583,53604.355234066927
584,53617.015504188428
585,53720.120056802138
586,53959.933029203006
587,54424.249748679002
588,54777.923450830553
589,55452.941027430621
590,56043.595354876983
591,56528.288094932504
592,56935.120528948362
593,57199.582666314986
594,57356.449258817825
595,57385.76017978484
596,57311.242930113352
597,57142.60476817294
598,56829.583210504861
599,56405.55066277297
600,55873.865824812681
601,55073.652927641473
602,54473.499069708894
603,54046.264412114368
604,53763.729253583217
605,53671.78745689815
606,53617.433582247591
607,53675.386960123447
608,53854.743722086248
609,54268.277605883268
610,54600.802338981892
611,55214.518324803888
612,55826.231737518232
613,56332.762581640607
614,56754.580396645171
615,57071.898964408792
616,57301.55311371477
617,57366.09305888119
618,57359.642025547764
619,57244.602801594687
620,56983.112972037481
621,56586.591112643189
622,56071.73305362359
623,55302.313352797137
624,54686.303477050373
625,54209.416106240082
626,53881.873260833374
627,53742.638493301551
628,53609.330772620764
629,53604.723033102848
630,53720.467500290826
631,54058.08720697114
632,54346.107405802453
633,54798.283684681606
634,55500.689838712125
635,56086.76087710233
636,56581.665574229592
637,56963.654400241197
638,57223.822427076244
639,57367.34447677253
640,57367.094211949312
641,57268.796592429142
642,57087.03474319652
643,56777.698960778376
644,56323.804525526262
645,55794.382558411606
646,54979.333399179726
647,54377.959400943968
648,53995.524004928688
649,53747.365235833786
650,53655.907623875559
651,53609.847899354165
652,53669.756126526103
653,53855.431663131712
654,54276.743905612013
655,54609.623491088685
656,55083.028133243097
657,55838.042892832331
658,56384.063800597156
659,56823.914638373833
660,57118.352899677797
661,57242.676799090405
662,57370.388346018328
663,57341.320098396711
664,57208.640693112276
665,56947.429468786388
666,56558.772251232971
667,56055.06392117223
668,55285.589881040811
669,54678.242109169485
670,54201.45779116558
671,53851.793884016057
672,53628.708570525312
673,53560.468642944987
674,53594.339348228772
675,53716.289772369062
676,54053.590551664245
677,54337.444614134743
678,54773.31342691648
679,55533.508221674514
680,56099.329294487965
681,56586.630048771454
682,56937.653888747838
683,57193.427576917486
684,57302.06195403423
685,57358.691923692139
686,57302.308605539685
687,57123.066364263657
688,56790.085424625468
689,56334.314063551101
690,55793.428365217282
691,54996.39023562651
692,54384.76926248493
693,53992.59079131834
694,53703.719251271352
695,53612.353256053437
696,53564.862398133198
697,53635.476563823308
698,53817.123164393386
699,54228.223235266501
700,54577.295224752415
701,55046.363293752351
702,55738.237451301058
703,56317.3396401102
704,56765.006431477312
705,57078.353304256132
706,57295.502435687718
707,57356.926659871337
708,57330.164505611072
709,57207.005604145234
710,56963.423874758337
711,56588.506165661027
712,56098.936915613529
713,55297.47598564731
714,54691.639348614292
715,54230.801115857386
716,53909.240696596331
717,53664.415750621774
718,53586.231796337321
719,53571.893451951255
720,53666.035066280812
721,53922.869307283021
722,54391.950024603859
723,54760.869836426522
724,55394.058725478768
725,55967.068443679716
726,56468.776568664915
727,56866.559097396726
728,57153.618357936386
729,57331.868381617824
730,57367.871779628178
731,57310.252891999582
732,57127.506291060294
733,56819.123365111307
734,56408.478163261643
735,55877.286980159945
736,55071.125598421495
737,54489.302501133636
738,54045.407005484718
739,53732.796469686116
740,53621.381579694324
741,53557.77114823593
742,53601.803597813145
743,53763.716394795614
744,54154.949585432521
745,54472.058301296012
746,55098.030606548906
747,55670.996498366039
748,56218.08007502032
749,56649.471420948437
750,57018.701371797943
751,57261.093210728977
752,57402.385653020974
753,57392.302176669356
754,57272.68037932703
755,57028.592602164055
756,56649.985410629037
757,56188.352612777533
758,55454.161521375005
759,54841.21763308518
760,54337.684005966563
761,53957.407762362549
762,53666.089166778576
763,53571.228912968058
764,53566.78625956356
765,53647.775840306989
766,53925.595966399604
767,54210.08673586449
768,54772.008755990697
769,55339.199182430435
770,55897.026305701751
771,56380.668758505199
772,56785.619507441173
773,57101.706070772372
774,57323.766316818226
775,57370.446994686376
776,57332.693264355861
777,57123.286597871062
778,56884.82306840118
779,56506.400855096923
780,56003.225430671504
781,55209.318963975842
782,54571.270887288527
783,54140.809723662052
784,53828.503943470962
785,53644.020058648312
786,53611.815656333747
