"Iteration: Iteration","Lift Monitor: Force (N)"
460,16918.799788394805
461,17010.021922139294
462,17126.193144219189
463,17404.143641282961
464,17624.644646364231
465,17917.498683128488
466,18347.296595372511
467,18598.981468237045
468,18791.225434128319
469,18917.400984968568
470,18972.392291901473
471,18974.673203677241
472,18878.145507092006
473,18765.614072229928
474,18536.995111214306
475,18148.288228104564
476,17886.687833068969
477,17470.351637239357
478,17211.808867336742
479,17037.322075843807
480,16901.41387824696
481,16843.901236156275
482,16848.364660537391
483,16890.983031854164
484,16993.338345329426
485,17173.423450563332
486,17504.745072755552
487,17742.029991134219
488,18033.994686849288
489,18417.755044970774
490,18642.384935136932
491,18751.894876530267
492,18828.586178691228
493,18834.571392704129
494,18795.197918991449
495,18626.218150679993
496,18466.904957615268
497,18127.151716677614
498,17867.734112324888
499,17482.379839489495
500,17220.500711545996
501,17036.672754348914
502,16909.774093573778
503,16816.778458774606
504,16795.532935743278
505,16819.88516320919
506,16897.807368077541
507,17049.162013690555
508,17264.505484926893
509,17549.544887687112
510,17875.624983561476
511,18288.25417327425
512,18517.247588657898
513,18647.069097252876
514,18752.613054984795
515,18797.979845548838
516,18798.375458163664
517,18689.162747008351
518,18561.388485589134
519,18333.078578725221
520,17926.806519997492
521,17685.12440389593
522,17329.684758861895
523,17093.42607803347
524,16937.44067128497
525,16838.827228071648
526,16795.996893821994
527,16802.681369833503
528,16882.243545758723
529,16988.499513112562
530,17180.378922816642
531,17442.216449876527
532,17735.176448353097
533,18052.80921165588
534,18437.539882076035
535,18637.284674675207
536,18780.026374777011
537,18841.683903860496
538,18860.914570511384
539,18804.812647209154
540,18700.856238077224
541,18502.952614732854
542,18143.520008032527
543,17888.596425843163
544,17483.195362276296
545,17197.668659613511
546,17037.287886286722
547,16899.41099952357
548,16831.306847012584
549,16818.023587087711
550,16840.020527735105
551,16974.653781076817
552,17111.013079775461
553,17342.78020331229
554,17638.728824477657
555,17942.026325431387
556,18347.712654026069
557,18584.03675639537
558,18711.57275640122
559,18803.732812447568
560,18848.458888125875
561,18848.45944358331
562,18772.953365000263
563,18606.164978149754
564,18273.066602087605
565,18011.219737472562
566,17614.46299495667
567,17310.8723127626
568,17103.064867200661
569,16951.283989179155
570,16858.882382765529
571,16820.483350328424
572,16826.143184647903
573,16890.637714272758
574,17017.969895312304
575,17222.308279346467
576,17485.913094550735
577,17784.395662221439
578,18078.896834273404
579,18474.495159068665
580,18651.105215210024
581,18754.936843593106
582,18815.577572245857
583,18839.265008300106
584,18772.24258403655
585,18658.818784510342
586,18452.896807314828
587,18060.562648764313
588,17819.954794960879
589,17447.620401228774
590,17190.971720292477
591,17028.012127577578
592,16918.864685989349
593,16859.762614595569
594,16853.356684790953
595,16891.607161777658
596,17046.822019455074
597,17185.453589848443
598,17422.692918297606
599,17711.518383191375
600,18014.541180487962
601,18415.287721802524
602,18612.376472733886
603,18781.572529972826
604,18870.460672843426
605,18899.579764963215
606,18873.5567672855
607,18796.909818662592
608,18615.825608937241
609,18261.854637770688
610,18017.068961409721
611,17607.20511966171
612,17338.798098823558
613,17165.660847714189
614,17024.825831998227
615,16920.002890835545
616,16895.793260569699
617,16913.087531960551
618,17025.588146325517
619,17149.096052584675
620,17358.043004215608
621,17626.417107695033
622,17928.990762601621
623,18325.275354236666
624,18568.57779137549
625,18730.005494944377
626,18868.262844458903
627,18939.657491699531
628,18974.298849870444
629,18938.361319831478
630,18807.196573780297
631,18495.640032983931
632,18249.482686141346
633,17936.752089044523
634,17485.479858723033
635,17244.006130523878
636,17102.061217807917
637,17014.539359081959
638,16965.971271879342
639,16982.541679783524
640,17008.242251864391
641,17148.279999136346
642,17278.075654387376
643,17509.840057301655
644,17779.818808998691
645,18093.196935207656
646,18464.608346445122
647,18670.127660473863
648,18815.15866798869
649,18908.565255049729
650,18957.203240190127
651,18914.215131556459
652,18832.61355008294
653,18660.120617500877
654,18291.11360289593
655,18044.764096471783
656,17741.325466111433
657,17338.275747103056
658,17132.903964931524
659,17025.046076432707
660,16960.946807768352
661,16935.705990309674
662,16970.269516191598
663,17033.585756508513
664,17171.092772595159
665,17402.461571406169
666,17655.385633237893
667,17956.681744513753
668,18368.807819325011
669,18586.084356323943
670,18742.76281916778
671,18873.095842167506
672,18933.340678694025
673,18958.074496282032
674,18886.111509253729
675,18779.230523735871
676,18488.379882846915
677,18255.317072844824
678,17934.585196614382
679,17536.811737939468
680,17299.276760645636
681,17154.867523820834
682,17057.741668369224
683,17005.728155979661
684,16996.385684715799
685,17053.421068868014
686,17150.2856911743
687,17316.678891764528
688,17554.166661356248
689,17848.20547475688
690,18156.158518116797
691,18538.703977124296
692,18741.820809072909
693,18870.387556529909
694,18950.713806863612
695,18982.013233109312
696,18964.139535634971
697,18880.611187561459
698,18707.283983716399
699,18348.2869531822
700,18098.330642643981
701,17798.119811937948
702,17385.987691094531
703,17188.303468555401
704,17066.75922944531
705,16981.959643216054
706,16966.768577917002
707,16985.779295629545
708,17091.347388899921
709,17195.335020889772
710,17385.106818893688
711,17650.636314839263
712,17948.95617040473
713,18315.136312414001
714,18562.032071717062
715,18724.582977318132
716,18850.343654958226
717,18939.59365563047
718,18964.89688261264
719,18901.267697087351
720,18787.177034764227
721,18579.489540271414
722,18199.860609072552
723,17947.369638090437
724,17578.360560350924
725,17324.011070187367
726,17173.618010041497
727,17061.681719858338
728,17002.590322964421
729,16986.152650132157
730,17014.976415276818
731,17092.3588184949
732,17243.100717768248
733,17487.166801205636
734,17767.737124316256
735,18079.248823409598
736,18464.778029602727
737,18663.254884882303
738,18795.865167767603
739,18889.3501589404
740,18936.803019771462
741,18929.597796133363
742,18863.536496898349
743,18694.596729506913
744,18356.426195190805
745,18108.796791127548
746,17697.020358347589
747,17409.116688439008
748,17220.144332654319
749,17066.477021121409
750,16973.083948966512
751,16922.15470479217
752,16937.135060354492
753,16988.696378704073
754,17108.453953182208
755,17296.101724181859
756,17554.500250551195
757,17840.063011004513
758,18259.731446112015
759,18502.682739097847
760,18694.497919168949
761,18829.963426341725
762,18906.415770852662
763,18927.543934797901
764,18882.42831010816
765,18785.197538592725
766,18528.839131409735
767,18312.368090901138
768,17903.173324350886
769,17595.003921281848
770,17364.511182776198
771,17195.908130039606
772,17072.544978095171
773,16973.18914980772
774,16951.287275463346
775,16978.447606139813
776,17058.744586582787
777,17271.461904747161
778,17455.074929107395
779,17711.355402952344
780,18009.778733620064
781,18403.332958135124
782,18605.158296275698
783,18745.19563822604
784,18848.668331507943
785,18899.47628983283
786,18885.602469832505
