"Iteration: Iteration","Lift Monitor: Force (N)"
1,-1013657.5981457689
2,-432513.6170746875
3,-41086.019250563237
4,-21999.338203356736
5,-12323.459448373678
6,114404.19132070632
7,116692.24775651839
8,115860.40328510641
9,97181.363087215548
10,69054.362623886787
11,46120.061762322002
12,7602.8596094835302
13,3501.8358725787793
14,488.11239884509416
15,-1398.3949380999536
16,-1953.5626228988315
17,-1076.0727720225423
18,9827.4419234428187
19,18972.313458582292
20,27879.963396273833
21,29107.589179462309
22,30093.677637323406
23,30792.130240781353
24,32098.680143722893
25,32241.339912746127
26,32076.62866071425
27,31629.973687496113
28,30966.114536514397
29,29407.115388449543
30,26905.729633289862
31,26278.341105733609
32,25479.288261528771
33,24681.610208623373
34,23976.919817386144
35,23357.07176287656
36,22864.35951130389
37,22417.319404348844
38,22111.280983850163
39,21837.832667029772
40,21577.67022828394
41,21425.222611438479
42,21321.008622911024
43,21280.55945972187
44,21355.745240669199
45,21411.720242736148
46,21564.553153202025
47,21701.060744865223
48,21853.878386774995
49,21975.368651439956
50,22007.479877716341
51,22023.06725114564
52,21918.19991047954
53,21715.747294339541
54,21369.966768540522
55,20911.67587186351
56,20346.3080882293
57,19750.555448998795
58,19112.962585678993
59,18477.31032740475
60,17922.245424380802
61,17485.417307137217
62,17174.023922267206
63,17045.865112400406
64,17050.239873629554
65,17193.945284575806
66,17456.792087198923
67,17783.95704015407
68,18115.291501916439
69,18432.989224800061
70,18689.763085890943
71,18822.38070677072
72,18768.011971489901
73,18543.10576918922
74,18209.169535656529
75,17799.110315954837
76,17355.823539124369
77,16932.863316090567
78,16560.801276361981
79,16312.345128301635
80,16166.59579329024
81,16069.013723813603
82,16119.54968428364
83,16325.037274948194
84,16696.354395253431
85,17197.346163531598
86,17768.047289122376
87,18340.475012268478
88,18872.42741584004
89,19239.345689345762
90,19486.088412994806
91,19476.910148856208
92,19286.410220677262
93,18870.581763025402
94,18261.309588559696
95,17508.690146848578
96,16723.566143540898
97,15960.91383430313
98,15349.368437593323
99,14931.365151468093
100,14761.217314020436
101,14898.735742638868
102,15256.439527112929
103,15833.62907841702
104,16550.141610236889
105,17299.196063351203
106,18076.892715781349
107,18796.472096516165
108,19411.308609811022
109,19885.894746932649
110,20223.886474436051
111,20380.496354235529
112,20358.24607503333
113,20167.259989028818
114,19806.418956241196
115,19322.061879632653
116,18764.191594233784
117,18218.106886518195
118,17684.686027750056
119,17228.598682649626
120,16764.60428211042
121,16623.355958765973
122,16614.056732174249
123,16637.000512672843
124,16719.302449941064
125,16845.292252880899
126,17024.756300889814
127,17250.45262805538
128,17486.48004498145
129,17709.546661302244
130,17905.752055160585
131,18046.979716750731
132,18117.524604781109
133,18092.999600834893
134,17981.338789638656
135,17805.868601533966
136,17553.195398620584
137,17254.945162743817
138,16964.125060964805
139,16695.805584368863
140,16461.309340590906
141,16288.456785803035
142,16221.544275774038
143,16214.280871880661
144,16268.147886111956
145,16390.800801463571
146,16589.630926680657
147,16833.749259884527
148,17120.396004277543
149,17395.608766307727
150,17641.778985012785
151,17878.667212407338
152,18086.834238660667
153,18212.789354290795
154,18269.765429241532
155,18280.655578256963
156,18209.051756813289
157,18051.895375290711
158,17822.878235868666
159,17517.787928238442
160,17183.265219204804
161,16854.094897482304
162,16554.309692500374
163,16269.21937079157
164,16173.711679878736
165,16151.506794014809
166,16141.932257274399
167,16161.982882843613
168,16241.497304924113
169,16376.559041432816
170,16570.025484641788
171,16804.647394057039
172,17070.462473834476
173,17426.657733951921
174,17634.990946274018
175,17806.054523995481
176,17960.392597219346
177,18103.227796816984
178,18219.10014469485
179,18249.993936490617
180,18238.616450207053
181,18130.996555096161
182,17841.09309194882
183,17607.061894388229
184,17184.861248121451
185,16900.599879191195
186,16677.396271200752
187,16542.635787617615
188,16473.003336379825
189,16467.099399071431
190,16512.292862521448
191,16576.440934211627
192,16705.203543378291
193,16903.286762668911
194,17167.891428672414
195,17487.007898420969
196,17884.098617688654
197,18352.074611343091
198,18602.952882473117
199,18874.444864816607
200,19055.552540804591
201,19218.359798182293
202,19296.665291746202
203,19291.230774192973
204,19118.173751413578
205,18895.337754528431
206,18400.368023210071
207,17904.141039418508
208,17491.225228266252
209,17123.022593547663
210,16803.649889014829
211,16602.291086830177
212,16453.128538620127
213,16413.89869403472
214,16462.268213056803
215,16566.096635155267
216,16785.075923260323
217,17223.500449978619
218,17652.385398565384
219,18119.547796865143
220,18540.04052703195
221,18966.247109367829
222,19385.085175775432
223,19704.678296424841
224,19907.911856584811
225,19922.327952727792
226,19849.072420350029
227,19517.273641036692
228,19191.149146442076
229,18574.756702185172
230,18017.780978496921
231,17580.105722289212
232,17245.926448385773
233,16974.560063327175
234,16807.271873362912
235,16760.049029278798
236,16831.329388237376
237,16935.105996092887
238,17258.175939331122
239,17518.819269659492
240,17878.077122736893
241,18321.317335524906
242,18858.636386528771
243,19176.862716395448
244,19384.093036298676
245,19504.796511462016
246,19524.000929367761
247,19507.48721298821
248,19381.849500345073
249,19162.037086099885
250,18841.783438482344
251,18433.622999997475
252,18028.413327258964
253,17651.049458374895
254,17211.611787509759
255,17072.977092613783
256,17068.938461762773
257,17091.41904384263
258,17183.910267130639
259,17270.922484995001
260,17421.172544762307
261,17633.010364289312
262,17887.877286886975
263,18147.213323755623
264,18409.321035926809
265,18680.020301870187
266,18856.005704905197
267,18975.108014581358
268,18955.03764546508
269,18835.086404379996
270,18719.237522935469
271,18537.914840949157
272,18301.280300028
273,17997.034843841269
274,17673.130275276882
275,17372.298270246014
276,17037.408939575933
277,16926.123237789183
278,16907.033548913449
279,16905.853120323009
280,16950.149169997683
281,17018.272871317557
282,17155.656204172879
283,17358.561993579653
284,17627.694343124931
285,17936.534100898025
286,18267.963209985588
287,18661.81677762204
288,18881.159673832317
289,19038.751297364946
290,19144.08788968006
291,19197.970329272484
292,19191.403764401599
293,19119.216439835924
294,18947.140995082369
295,18677.249226090291
296,18348.047980349809
297,17995.341660648224
298,17576.946193949749
299,17387.773701723258
300,17281.063771035468
301,17215.273650727904
302,17212.792953940094
303,17220.10577277535
304,17320.840789217717
305,17440.501268394943
306,17631.185253141968
307,17908.64031247548
308,18234.715597246457
309,18568.298775824725
310,18985.673816875162
311,19218.16125833023
312,19327.537244555166
313,19421.226623138362
314,19480.443664441147
315,19447.256712964965
316,19363.035776200253
317,19178.880699180194
318,18901.386680643183
319,18442.852585657078
320,18089.378695554973
321,17831.834359992507
322,17648.254761276992
323,17494.469730920835
324,17381.39457142325
325,17339.069627621062
326,17342.378396035874
327,17427.731284390131
328,17533.54275529641
329,17728.996494597581
330,18005.126175144127
331,18292.180993144873
332,18652.440698822815
333,18869.77892471843
334,19017.947341678333
335,19108.777945897753
336,19137.390582066579
337,19120.535514868239
338,19040.651173313505
339,18862.848462079866
340,18501.23754589543
341,18226.241435055188
342,17784.612510578991
343,17440.14175775442
344,17183.955839529892
345,17010.642623497886
346,16891.703727009721
347,16816.083844854838
348,16821.402974391844
349,16864.529376489867
350,17030.85006818574
351,17198.222255446821
352,17562.969438514367
353,17793.454147973684
354,18238.660890731626
355,18544.181581558903
356,18790.833174143845
357,18960.87574474694
358,19062.818401823803
359,19081.199541491882
360,19037.968554466599
361,18914.679237747252
362,18701.331771310332
363,18299.180563955841
364,18023.936984013413
365,17618.604648593297
366,17299.481163050528
367,17103.09700172906
368,16991.799670202596
369,16915.481881274554
370,16915.853327155368
371,16952.473440390509
372,17106.228295072928
373,17268.589024846518
374,17533.51388046467
375,17856.095307129828
376,18197.421381328728
377,18633.842222517102
378,18845.723611826412
379,18965.169014900865
380,19016.595702652779
381,19043.186820262454
382,18978.669367664857
383,18876.840888247807
384,18707.482424623417
385,18363.718368345104
386,18132.552619255752
387,17757.203217939197
388,17470.521860791101
389,17278.909757626945
390,17144.721169681347
391,17076.616975152192
392,17068.949160696946
393,17095.443121625849
394,17220.307511180952
395,17349.36047776994
396,17558.019090029982
397,17833.608574221053
398,18139.681632664615
399,18516.58791065044
400,18724.708646699564
401,18855.339096186141
402,18936.592360351769
403,18962.919427674919
404,18924.802422406898
405,18842.038724159178
406,18671.333807241397
407,18430.048947049338
408,18015.907548227187
409,17767.4592665292
410,17407.462083834773
411,17167.958279210066
412,17037.572329654213
413,16943.910526573993
414,16893.648768748015
415,16902.389573924418
416,16983.537460530741
417,17087.003525079068
418,17338.233294500744
419,17537.587774145271
420,17812.546183165432
421,18115.287019625128
422,18485.409771279759
423,18702.476454362604
424,18818.0360541849
425,18878.518486637338
426,18888.538908608371
427,18815.622349875852
428,18719.769649421251
429,18528.051769229522
430,18166.311219200343
431,17926.841869117787
432,17539.958541303979
433,17285.942503746533
434,17101.535493609863
435,16980.629872565394
436,16909.0323878573
437,16894.364040534707
438,16926.870654979524
439,17065.237475373087
440,17208.828797785707
441,17513.507532992422
442,17739.933634275261
443,18121.882481796492
444,18425.541239975457
445,18677.441906824752
446,18844.644870922464
447,18968.820841937082
448,19020.396941651652
449,19019.740072340446
450,18888.619598127218
451,18748.083912571088
452,18524.867483349713
453,18092.108682507649
454,17766.986549628891
455,17485.263540258718
456,17236.650658044182
457,17054.6986294813
458,16965.463512849445
459,16913.533014548146
