"Iteration: Iteration","Drag Monitor: Force (N)"
1,824312.87063244812
2,839521.20929891372
3,868575.00258045667
4,602843.30901224329
5,301083.25453864405
6,182775.16935976193
7,53599.834832037726
8,-22710.982694380928
9,-30165.440768634526
10,-1557.4876074535171
11,29835.473416184839
12,59666.270761650529
13,122437.58531938553
14,209787.90147262558
15,265388.70999035507
16,295220.26792172913
17,308448.32882809598
18,317264.43630404578
19,320372.04083476332
20,320355.1750944602
21,315607.34971557406
22,310359.59988850105
23,302163.8040155308
24,281987.08268352714
25,273366.46373131633
26,255305.98800181222
27,252149.90082217535
28,248824.92413404107
29,246396.79050590578
30,244110.7494153899
31,242437.36763135422
32,241049.10773325872
33,242154.41222022532
34,243808.54400520923
35,257657.6163417928
36,257204.09643991012
37,256662.24459809434
38,255408.67028361376
39,252888.86938440171
40,247869.25941196998
41,232867.60309774385
42,232422.59354225057
43,230211.16321559745
44,223231.16373862326
45,222223.89591841339
46,220943.15986089219
47,219905.06488046827
48,219263.93779571986
49,218915.07765135841
50,218805.47905698337
51,219226.09423432717
52,219367.29235719185
53,222511.30141450546
54,221787.55057876644
55,221291.04808230861
56,221098.77415262474
57,221086.37217891816
58,221191.67042523291
59,221166.06142631595
60,220997.97310214685
61,220379.73796904326
62,219830.11031876609
63,218789.7452787736
64,218698.52149974019
65,218823.62311152474
66,219496.00850490303
67,220529.7055950225
68,221903.03524300116
69,223262.40531682293
70,224670.32328320449
71,226015.38377005767
72,227097.29017739129
73,227971.49582954482
74,228429.14655531384
75,228629.49645109905
76,228462.6141618664
77,228124.57155844415
78,227541.66070097443
79,226862.45636532985
80,225962.51975577718
81,224796.10074309833
82,223308.88635597983
83,221613.16736164314
84,219967.52617597627
85,218165.83306420123
86,216832.8838117758
87,215604.96471879576
88,215497.52124442437
89,216838.4669611892
90,218714.34920682365
91,221645.81275696729
92,225373.06430084337
93,229560.65016392691
94,233255.6808612413
95,236498.06707183251
96,238637.68790011387
97,239923.80855652387
98,240351.21360889729
99,239924.92263280819
100,238630.00204755479
101,236669.8585066071
102,234145.08945907003
103,231141.05506202884
104,227840.31091160694
105,224505.08061116817
106,219298.87732681798
107,215454.1535528723
108,213382.8396365839
109,211954.54359208813
110,211137.46796021657
111,211280.51729772863
112,212891.89180390269
113,215506.57980008493
114,218870.13342722171
115,222403.10117831896
116,225485.80123164004
117,228523.28703459891
118,229806.43188900215
119,230837.83366250712
120,231478.18626905634
121,231352.36485148079
122,230467.3625185964
123,228606.54092174611
124,226242.43939839309
125,223391.3991587405
126,220283.80385737109
127,217150.71250835093
128,214525.36387165426
129,212359.83390302301
130,210879.41917625963
131,210113.7302118208
132,210188.4058326883
133,211071.05013484336
134,212778.11070835829
135,215088.29559404284
136,217785.32908351748
137,220703.39260787325
138,224699.55650706674
139,227349.82971597023
140,229033.61641803189
141,229637.96535023086
142,229918.87841084498
143,229934.0822591513
144,229536.48746877848
145,228689.52097904988
146,227385.58131468584
147,225807.20098503487
148,223982.29113242895
149,222107.89560344163
150,220293.21017416473
151,218651.78622305751
152,217418.5447376137
153,216569.98124826766
154,216270.53956658411
155,216472.72231659314
156,217137.85253398653
157,218351.30918859801
158,219804.80530736074
159,221529.90601524781
160,223322.90055627818
161,224832.37971003854
162,226103.73995161199
163,226970.00329775966
164,227344.64990817101
165,227193.5174732685
166,226485.51447182975
167,225167.26015505567
168,223468.32207053655
169,221477.56890337224
170,219306.61826002601
171,217124.70309960697
172,215376.08532242491
173,213819.24495965394
174,212864.94758932671
175,212500.12142295757
176,212672.90948295401
177,213420.64580797619
178,214682.87195133494
179,216222.53735525094
180,217980.68074255451
181,219704.11440083137
182,222196.56465731873
183,223765.45028396591
184,224566.79538392252
185,225404.55535550218
186,225970.13467644062
187,226293.72760161688
188,226084.58807747884
189,225411.12325562828
190,224235.91852928139
191,222523.35455529724
192,220526.43428276887
193,218380.91567485774
194,216314.04642568956
195,214383.23462325259
196,212666.08036749321
197,211046.38641932872
198,210557.37049564481
199,210727.8859973673
200,211264.87107275959
201,212523.0345989012
202,214366.96595037321
203,216497.17626242249
204,218962.70877171488
205,222307.00660883336
206,224627.60185356706
207,226302.48605812911
208,227439.10776595207
209,228083.59781454425
210,228175.53861292489
211,227919.9439929323
212,227157.98600913162
213,225966.99359386251
214,224212.49098951387
215,222061.04003466346
216,219543.71451040843
217,216135.42971252985
218,213440.5269089762
219,211623.7977780372
220,210338.08027629289
