"Iteration: Iteration","Lift Monitor: Force (N)"
319,66856.535878994953
320,66687.955743937564
321,66675.670124640979
322,66837.34384229382
323,67317.1051145565
324,68084.585120567164
325,69159.189772058118
326,70504.817861991411
327,71878.841793956191
328,73260.660600222865
329,74384.888026915592
330,75340.070750048806
331,75819.80171424232
332,75802.876173348181
333,75150.481349678899
334,74462.920776370491
335,73065.355966944844
336,72141.332205670595
337,70983.60846268246
338,69673.792791957501
339,68431.368272366119
340,67013.174614405274
341,66547.575029771717
342,66418.443731731939
343,66494.254998273027
344,66636.341198113631
345,66998.463520904945
346,67655.136461490649
347,68687.709031394959
348,70012.480927439683
349,71428.619848005023
350,72909.689234503341
351,74574.569891537292
